"trial","ref_position","var_area","response","correct","rt"
1,"L",8.28416940150782,"L",TRUE,3.10199999809265
2,"L",13.9834598398302,"R",TRUE,1.77499985694885
3,"R",11.6891956070904,"L",TRUE,1.66100001335144
4,"L",11.6185164225753,"R",TRUE,3.09200000762939
5,"L",9.62371265771799,"R",TRUE,2.60899996757507
6,"L",11.0292703949381,"R",TRUE,2.01899981498718
7,"L",9.56567545048892,"R",TRUE,2.13900017738342
8,"R",9.38679000758566,"R",FALSE,5.49500012397766
9,"L",9.39271059236489,"R",TRUE,2.14000010490417
10,"R",11.7965558825526,"L",TRUE,1.78199982643127
11,"L",10.9518909843173,"L",FALSE,2.01800012588501
12,"R",8.53823475027457,"L",FALSE,1.90000009536743
13,"L",13.2163675732445,"R",TRUE,2.01800012588501
14,"R",12.5468204235658,"L",TRUE,1.65899991989136
15,"R",8.25487165874802,"L",FALSE,1.89900016784668
16,"L",8.1875231647864,"L",TRUE,2.13700008392334
17,"L",12.7485745467711,"R",TRUE,1.89400005340576
18,"R",14.7571146816481,"L",TRUE,1.65599989891052
19,"L",10.4448606153019,"R",TRUE,2.97499990463257
20,"L",8.43477683584206,"L",TRUE,1.90100002288818
